,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
0,0,0.34418,0.32782,0.2966,en_wiki,2,16,-0.031220000000000026,0.016359999999999986
1,0,0.34418,0.32782,0.34024,en_wiki,2,32,0.012419999999999987,0.016359999999999986
2,0,0.34418,0.32782,0.3442,en_wiki,2,64,0.016380000000000006,0.016359999999999986
3,0,0.34418,0.32782,0.34308,en_wiki,2,128,0.015259999999999996,0.016359999999999986
4,0,0.34418,0.32782,0.33914,en_wiki,2,256,0.011319999999999997,0.016359999999999986
5,0,0.34418,0.32782,0.34418,en_wiki,2,512,0.016359999999999986,0.016359999999999986
6,0,0.34418,0.32782,0.34385,en_wiki,2,1024,0.01602999999999999,0.016359999999999986
7,0,0.34418,0.32782,0.34388,en_wiki,2,2048,0.01606000000000002,0.016359999999999986
8,0,0.34418,0.32782,0.34409,en_wiki,2,4096,0.016270000000000007,0.016359999999999986
9,0,0.34418,0.32782,0.34377,en_wiki,2,8192,0.01595000000000002,0.016359999999999986
10,0,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
11,1,0.34418,0.32782,0.17714,en_wiki,2,16,-0.15068,0.016359999999999986
12,1,0.34418,0.32782,0.34417,en_wiki,2,32,0.016349999999999976,0.016359999999999986
13,1,0.34418,0.32782,0.34282,en_wiki,2,64,0.015000000000000013,0.016359999999999986
14,1,0.34418,0.32782,0.34411,en_wiki,2,128,0.016290000000000027,0.016359999999999986
15,1,0.34418,0.32782,0.34338,en_wiki,2,256,0.015560000000000018,0.016359999999999986
16,1,0.34418,0.32782,0.34224,en_wiki,2,512,0.014419999999999988,0.016359999999999986
17,1,0.34418,0.32782,0.34364,en_wiki,2,1024,0.01582,0.016359999999999986
18,1,0.34418,0.32782,0.34371,en_wiki,2,2048,0.015890000000000015,0.016359999999999986
19,1,0.34418,0.32782,0.34417,en_wiki,2,4096,0.016349999999999976,0.016359999999999986
20,1,0.34418,0.32782,0.34366,en_wiki,2,8192,0.01584000000000002,0.016359999999999986
21,1,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
22,2,0.34418,0.32782,0.31007,en_wiki,2,16,-0.017749999999999988,0.016359999999999986
23,2,0.34418,0.32782,0.34392,en_wiki,2,32,0.016100000000000003,0.016359999999999986
24,2,0.34418,0.32782,0.33436,en_wiki,2,64,0.00653999999999999,0.016359999999999986
25,2,0.34418,0.32782,0.34368,en_wiki,2,128,0.015859999999999985,0.016359999999999986
26,2,0.34418,0.32782,0.34402,en_wiki,2,256,0.016199999999999992,0.016359999999999986
27,2,0.34418,0.32782,0.33928,en_wiki,2,512,0.011460000000000026,0.016359999999999986
28,2,0.34418,0.32782,0.34417,en_wiki,2,1024,0.016349999999999976,0.016359999999999986
29,2,0.34418,0.32782,0.34399,en_wiki,2,2048,0.016170000000000018,0.016359999999999986
30,2,0.34418,0.32782,0.34388,en_wiki,2,4096,0.01606000000000002,0.016359999999999986
31,2,0.34418,0.32782,0.34403,en_wiki,2,8192,0.016210000000000002,0.016359999999999986
32,2,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
33,3,0.34418,0.32782,0.33259,en_wiki,2,16,0.0047699999999999965,0.016359999999999986
34,3,0.34418,0.32782,0.29092,en_wiki,2,32,-0.03689999999999999,0.016359999999999986
35,3,0.34418,0.32782,0.34259,en_wiki,2,64,0.014770000000000005,0.016359999999999986
36,3,0.34418,0.32782,0.34369,en_wiki,2,128,0.015869999999999995,0.016359999999999986
37,3,0.34418,0.32782,0.34117,en_wiki,2,256,0.013349999999999973,0.016359999999999986
38,3,0.34418,0.32782,0.34201,en_wiki,2,512,0.01418999999999998,0.016359999999999986
39,3,0.34418,0.32782,0.34328,en_wiki,2,1024,0.015459999999999974,0.016359999999999986
40,3,0.34418,0.32782,0.3419,en_wiki,2,2048,0.014079999999999981,0.016359999999999986
41,3,0.34418,0.32782,0.3439,en_wiki,2,4096,0.016079999999999983,0.016359999999999986
42,3,0.34418,0.32782,0.344,en_wiki,2,8192,0.016179999999999972,0.016359999999999986
43,3,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
44,4,0.34418,0.32782,0.27222,en_wiki,2,16,-0.05559999999999998,0.016359999999999986
45,4,0.34418,0.32782,0.34416,en_wiki,2,32,0.01634000000000002,0.016359999999999986
46,4,0.34418,0.32782,0.32003,en_wiki,2,64,-0.007790000000000019,0.016359999999999986
47,4,0.34418,0.32782,0.3442,en_wiki,2,128,0.016380000000000006,0.016359999999999986
48,4,0.34418,0.32782,0.34381,en_wiki,2,256,0.015990000000000004,0.016359999999999986
49,4,0.34418,0.32782,0.34102,en_wiki,2,512,0.01319999999999999,0.016359999999999986
50,4,0.34418,0.32782,0.34417,en_wiki,2,1024,0.016349999999999976,0.016359999999999986
51,4,0.34418,0.32782,0.3442,en_wiki,2,2048,0.016380000000000006,0.016359999999999986
52,4,0.34418,0.32782,0.34394,en_wiki,2,4096,0.016120000000000023,0.016359999999999986
53,4,0.34418,0.32782,0.3441,en_wiki,2,8192,0.016280000000000017,0.016359999999999986
