,n_comp,analysis,pages,lda,freq,lda_topviews
0,2,dataset-wikipedia_randomSeed-754_maxSize-None,Deaths in 2025,0.34418,0.32782,-4e-05
1,2,dataset-wikipedia_randomSeed-754_maxSize-None,Charlie Kirk,0.34418,0.32782,0.33996
2,2,dataset-wikipedia_randomSeed-754_maxSize-None,ChatGPT,0.34418,0.32782,0.33215
3,2,dataset-wikipedia_randomSeed-754_maxSize-None,Ed Gein,0.34418,0.32782,0.3442
4,2,dataset-wikipedia_randomSeed-754_maxSize-None,Donald Trump,0.34418,0.32782,0.3316
5,2,dataset-wikipedia_randomSeed-754_maxSize-None,Zohran Mamdani,0.34418,0.32782,0.33985
6,2,dataset-wikipedia_randomSeed-754_maxSize-None,Elon Musk,0.34418,0.32782,0.33654
7,2,dataset-wikipedia_randomSeed-754_maxSize-None,Sinners (2025 film),0.34418,0.32782,0.34304
8,2,dataset-wikipedia_randomSeed-754_maxSize-None,Ozzy Osbourne,0.34418,0.32782,0.34205
9,2,dataset-wikipedia_randomSeed-754_maxSize-None,Superman (2025 film),0.34418,0.32782,0.34314
10,3,dataset-wikipedia_randomSeed-754_maxSize-None,Deaths in 2025,0.37036,0.32782,-0.0
11,3,dataset-wikipedia_randomSeed-754_maxSize-None,Charlie Kirk,0.37036,0.32782,0.30064
12,3,dataset-wikipedia_randomSeed-754_maxSize-None,ChatGPT,0.37036,0.32782,0.32896
13,3,dataset-wikipedia_randomSeed-754_maxSize-None,Ed Gein,0.37036,0.32782,0.32724
14,3,dataset-wikipedia_randomSeed-754_maxSize-None,Donald Trump,0.37036,0.32782,0.27607
15,3,dataset-wikipedia_randomSeed-754_maxSize-None,Zohran Mamdani,0.37036,0.32782,0.29443
16,3,dataset-wikipedia_randomSeed-754_maxSize-None,Elon Musk,0.37036,0.32782,0.30803
17,3,dataset-wikipedia_randomSeed-754_maxSize-None,Sinners (2025 film),0.37036,0.32782,0.34196
18,3,dataset-wikipedia_randomSeed-754_maxSize-None,Ozzy Osbourne,0.37036,0.32782,0.32972
19,3,dataset-wikipedia_randomSeed-754_maxSize-None,Superman (2025 film),0.37036,0.32782,0.34404
20,4,dataset-wikipedia_randomSeed-754_maxSize-None,Deaths in 2025,0.37406,0.32782,-0.0
21,4,dataset-wikipedia_randomSeed-754_maxSize-None,Charlie Kirk,0.37406,0.32782,0.282
22,4,dataset-wikipedia_randomSeed-754_maxSize-None,ChatGPT,0.37406,0.32782,0.31499
23,4,dataset-wikipedia_randomSeed-754_maxSize-None,Ed Gein,0.37406,0.32782,0.31301
24,4,dataset-wikipedia_randomSeed-754_maxSize-None,Donald Trump,0.37406,0.32782,0.24925
25,4,dataset-wikipedia_randomSeed-754_maxSize-None,Zohran Mamdani,0.37406,0.32782,0.26763
26,4,dataset-wikipedia_randomSeed-754_maxSize-None,Elon Musk,0.37406,0.32782,0.28193
27,4,dataset-wikipedia_randomSeed-754_maxSize-None,Sinners (2025 film),0.37406,0.32782,0.32177
28,4,dataset-wikipedia_randomSeed-754_maxSize-None,Ozzy Osbourne,0.37406,0.32782,0.30547
